"cover","depth"
"0",152
"0",152
"10",152
"0",813
"0",711
"0",432
"10",432
"10",279
"10",0
"10",318
"0",457
"10",0
"0",521
"0",394
"0",330
"0",0
"10",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",152
"0",0
"0",0
"0",152
"0",0
"0",0
"0",0
"0",0
"0",0
"0",152
"0",0
"0",0
"0",0
"0",0
"10",0
"0",356
"0",152
"0",152
"0",330
"0",406
"0",356
"0",152
"0",356
"0",356
"0",152
"10",152
"0",356
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",38
"0",0
"0",152
"0",102
"0",178
"0",25
"0",102
"0",0
"0",76
"0",140
"0",0
"0",152
"0",203
"0",127
"0",0
"0",0
"0",102
"0",152
"0",114
"0",203
"0",0
"0",51
"0",102
"0",203
"0",254
"0",0
"0",229
"0",229
"0",330
"0",203
"0",254
"0",152
"0",178
"0",64
"0",254
"0",229
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",178
"0",381
"0",368
"0",305
"0",356
"0",330
"0",394
"0",318
"0",457
"0",330
"0",483
"0",394
"0",381
"0",356
"0",254
"0",279
"10",152
"0",330
"10",152
"10",152
"10",152
"0",0
"0",0
"0",483
"10",0
"10",0
"10",356
"10",254
"10",178
"10",0
"10",279
"0",445
"0",445
"10",0
"10",0
"10",191
"10",0
"10",0
"10",305
"10",406
"10",102
"10",432
"10",305
"10",279
"10",0
"0",305
"0",203
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",152
"0",127
"0",0
"0",0
"0",152
"0",0
"0",152
"0",0
"0",152
"0",0
"0",152
"10",0
"0",0
"0",0
"0",152
"0",152
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",127
"0",0
"0",0
"10",0
"0",127
"0",305
"10",279
"10",216
"0",89
"0",305
"0",546
"10",0
"0",0
"0",0
"0",254
"0",279
"0",76
"0",0
"0",178
"0",508
"0",457
"0",0
"10",356
"10",305
"0",508
"10",152
"10",254
"10",0
"0",279
"10",178
"10",89
"10",0
"10",0
"10",0
"10",406
"10",330
"10",254
"10",178
"10",305
"10",0
"10",0
"10",0
"10",0
"10",0
"0",0
"0",127
"0",0
"10",419
"10",0
"10",0
"10",0
"10",0
"0",0
"0",0
"10",0
"10",0
"10",0
"0",0
"10",0
"0",0
"0",0
"0",0
"0",0
"0",152
"0",0
"0",0
"0",0
"0",0
"0",0
"0",0
"0",432
"0",178
"0",0
"0",0
"0",76
"0",127
"0",76
"0",127
"0",0
"10",0
"10",0
"0",0
"0",0
"10",0
"0",0
"10",0
"0",0
"10",0
"10",0
"10",0
"10",0
"10",0
"10",0
"10",0
"10",0
"0",0
"10",0
"0",0
"10",0
"10",0
"10",0
"10",0
"0",0
"10",0
"10",0
"0",0
"0",1283
"0",1029
"10",838
"0",953
"10",305
"10",508
"10",559
"10",419
"10",559
"10",851
"10",330
"10",762
"10",914
"10",1092
"10",737
"10",851
"10",724
"0",787
"0",787
"0",711
"10",711
"0",1168
"0",1054
"0",1473
"0",1194
"0",991
"0",1143
"0",1003
"0",1092
"0",1118
"0",1194
"0",1092
"0",1130
"0",368
"0",406
"0",724
"0",940
"0",991
"0",1143
